system has 32 processor(s). 
time elapsed: 16.284080 sec, perf: 15.352418 GFLOPS, cpu_id: 7
time elapsed: 15.956086 sec, perf: 15.668003 GFLOPS, cpu_id: 27
time elapsed: 16.182645 sec, perf: 15.448649 GFLOPS, cpu_id: 17
node01
system has 32 processor(s). 
time elapsed: 16.187933 sec, perf: 15.443602 GFLOPS, cpu_id: 3
time elapsed: 15.322846 sec, perf: 16.315507 GFLOPS, cpu_id: 17
time elapsed: 15.577773 sec, perf: 16.048507 GFLOPS, cpu_id: 8
time elapsed: 15.517067 sec, perf: 16.111292 GFLOPS, cpu_id: 5
time elapsed: 15.565531 sec, perf: 16.061129 GFLOPS, cpu_id: 9
time elapsed: 16.204058 sec, perf: 15.428234 GFLOPS, cpu_id: 7
time elapsed: 15.595217 sec, perf: 16.030556 GFLOPS, cpu_id: 27
time elapsed: 15.551910 sec, perf: 16.075196 GFLOPS, cpu_id: 14
time elapsed: 15.532573 sec, perf: 16.095208 GFLOPS, cpu_id: 28
time elapsed: 15.650052 sec, perf: 15.974388 GFLOPS, cpu_id: 10
time elapsed: 16.142864 sec, perf: 15.486719 GFLOPS, cpu_id: 19
time elapsed: 15.780379 sec, perf: 15.842458 GFLOPS, cpu_id: 11
time elapsed: 15.672153 sec, perf: 15.951861 GFLOPS, cpu_id: 18
time elapsed: 16.288553 sec, perf: 15.348202 GFLOPS, cpu_id: 30
time elapsed: 16.152715 sec, perf: 15.477274 GFLOPS, cpu_id: 0
time elapsed: 15.592593 sec, perf: 16.033254 GFLOPS, cpu_id: 15
time elapsed: 15.977070 sec, perf: 15.647425 GFLOPS, cpu_id: 12
time elapsed: 15.808528 sec, perf: 15.814249 GFLOPS, cpu_id: 4
time elapsed: 15.975790 sec, perf: 15.648678 GFLOPS, cpu_id: 25
time elapsed: 16.623334 sec, perf: 15.039101 GFLOPS, cpu_id: 20
time elapsed: 15.564845 sec, perf: 16.061837 GFLOPS, cpu_id: 23
time elapsed: 16.454118 sec, perf: 15.193765 GFLOPS, cpu_id: 6
time elapsed: 16.707912 sec, perf: 14.962970 GFLOPS, cpu_id: 16
time elapsed: 16.248772 sec, perf: 15.385778 GFLOPS, cpu_id: 13
time elapsed: 16.305875 sec, perf: 15.331897 GFLOPS, cpu_id: 31
time elapsed: 16.475786 sec, perf: 15.173783 GFLOPS, cpu_id: 2
time elapsed: 16.282843 sec, perf: 15.353584 GFLOPS, cpu_id: 22
time elapsed: 16.719558 sec, perf: 14.952549 GFLOPS, cpu_id: 29
time elapsed: 16.706054 sec, perf: 14.964635 GFLOPS, cpu_id: 1
time elapsed: 16.318122 sec, perf: 15.320390 GFLOPS, cpu_id: 24
time elapsed: 16.756811 sec, perf: 14.919306 GFLOPS, cpu_id: 21
time elapsed: 16.642174 sec, perf: 15.022076 GFLOPS, cpu_id: 26
node10
system has 32 processor(s). 
time elapsed: 15.700166 sec, perf: 15.923399 GFLOPS, cpu_id: 25
time elapsed: 15.654085 sec, perf: 15.970273 GFLOPS, cpu_id: 29
time elapsed: 15.473780 sec, perf: 16.156363 GFLOPS, cpu_id: 5
time elapsed: 15.638868 sec, perf: 15.985811 GFLOPS, cpu_id: 3
time elapsed: 15.681052 sec, perf: 15.942808 GFLOPS, cpu_id: 19
time elapsed: 15.572803 sec, perf: 16.053629 GFLOPS, cpu_id: 26
time elapsed: 15.596703 sec, perf: 16.029028 GFLOPS, cpu_id: 9
time elapsed: 15.641406 sec, perf: 15.983218 GFLOPS, cpu_id: 8
time elapsed: 15.532652 sec, perf: 16.095127 GFLOPS, cpu_id: 30
time elapsed: 15.716764 sec, perf: 15.906582 GFLOPS, cpu_id: 15
time elapsed: 15.705688 sec, perf: 15.917800 GFLOPS, cpu_id: 17
time elapsed: 15.551678 sec, perf: 16.075435 GFLOPS, cpu_id: 28
time elapsed: 15.652722 sec, perf: 15.971663 GFLOPS, cpu_id: 6
time elapsed: 15.701963 sec, perf: 15.921576 GFLOPS, cpu_id: 4
time elapsed: 15.534342 sec, perf: 16.093375 GFLOPS, cpu_id: 24
time elapsed: 15.666458 sec, perf: 15.957659 GFLOPS, cpu_id: 22
time elapsed: 15.570069 sec, perf: 16.056448 GFLOPS, cpu_id: 23
time elapsed: 15.516384 sec, perf: 16.112002 GFLOPS, cpu_id: 12
time elapsed: 15.864268 sec, perf: 15.758685 GFLOPS, cpu_id: 31
time elapsed: 15.705508 sec, perf: 15.917983 GFLOPS, cpu_id: 16
time elapsed: 15.504766 sec, perf: 16.124074 GFLOPS, cpu_id: 11
time elapsed: 15.718890 sec, perf: 15.904431 GFLOPS, cpu_id: 13
time elapsed: 15.638899 sec, perf: 15.985780 GFLOPS, cpu_id: 1
time elapsed: 15.527706 sec, perf: 16.100253 GFLOPS, cpu_id: 2
time elapsed: 15.706006 sec, perf: 15.917478 GFLOPS, cpu_id: 10
time elapsed: 15.519751 sec, perf: 16.108506 GFLOPS, cpu_id: 20
time elapsed: 15.699609 sec, perf: 15.923963 GFLOPS, cpu_id: 27
time elapsed: 15.668775 sec, perf: 15.955299 GFLOPS, cpu_id: 14
time elapsed: 15.773563 sec, perf: 15.849304 GFLOPS, cpu_id: 7
time elapsed: 16.308911 sec, perf: 15.329043 GFLOPS, cpu_id: 18
time elapsed: 16.440456 sec, perf: 15.206391 GFLOPS, cpu_id: 21
time elapsed: 16.996723 sec, perf: 14.708717 GFLOPS, cpu_id: 0
node07
system has 32 processor(s). 
time elapsed: 15.324908 sec, perf: 16.313311 GFLOPS, cpu_id: 30
time elapsed: 15.192778 sec, perf: 16.455187 GFLOPS, cpu_id: 12
time elapsed: 15.216489 sec, perf: 16.429546 GFLOPS, cpu_id: 28
time elapsed: 15.595590 sec, perf: 16.030172 GFLOPS, cpu_id: 26
time elapsed: 15.526346 sec, perf: 16.101664 GFLOPS, cpu_id: 14
time elapsed: 15.484047 sec, perf: 16.145650 GFLOPS, cpu_id: 5
time elapsed: 15.527951 sec, perf: 16.099999 GFLOPS, cpu_id: 13
time elapsed: 15.605971 sec, perf: 16.019509 GFLOPS, cpu_id: 2
time elapsed: 16.088767 sec, perf: 15.538792 GFLOPS, cpu_id: 20
time elapsed: 15.629025 sec, perf: 15.995880 GFLOPS, cpu_id: 19
time elapsed: 15.555077 sec, perf: 16.071923 GFLOPS, cpu_id: 15
time elapsed: 15.849098 sec, perf: 15.773769 GFLOPS, cpu_id: 7
time elapsed: 15.965472 sec, perf: 15.658791 GFLOPS, cpu_id: 25
time elapsed: 15.534895 sec, perf: 16.092803 GFLOPS, cpu_id: 16
time elapsed: 16.004699 sec, perf: 15.620412 GFLOPS, cpu_id: 27
time elapsed: 15.836495 sec, perf: 15.786321 GFLOPS, cpu_id: 0
time elapsed: 15.691217 sec, perf: 15.932480 GFLOPS, cpu_id: 10
time elapsed: 15.809164 sec, perf: 15.813613 GFLOPS, cpu_id: 9
time elapsed: 15.879683 sec, perf: 15.743387 GFLOPS, cpu_id: 6
time elapsed: 16.002967 sec, perf: 15.622103 GFLOPS, cpu_id: 18
time elapsed: 15.684738 sec, perf: 15.939061 GFLOPS, cpu_id: 29
time elapsed: 16.116096 sec, perf: 15.512441 GFLOPS, cpu_id: 17
time elapsed: 16.034311 sec, perf: 15.591564 GFLOPS, cpu_id: 11
time elapsed: 15.516054 sec, perf: 16.112344 GFLOPS, cpu_id: 4
time elapsed: 15.697891 sec, perf: 15.925706 GFLOPS, cpu_id: 21
time elapsed: 15.593342 sec, perf: 16.032484 GFLOPS, cpu_id: 31
time elapsed: 15.829473 sec, perf: 15.793324 GFLOPS, cpu_id: 3
time elapsed: 15.990406 sec, perf: 15.634375 GFLOPS, cpu_id: 22
time elapsed: 15.722605 sec, perf: 15.900673 GFLOPS, cpu_id: 8
time elapsed: 16.555826 sec, perf: 15.100424 GFLOPS, cpu_id: 23
time elapsed: 17.164804 sec, perf: 14.564688 GFLOPS, cpu_id: 24
time elapsed: 18.324767 sec, perf: 13.642738 GFLOPS, cpu_id: 1
node03
system has 32 processor(s). 
time elapsed: 15.325130 sec, perf: 16.313076 GFLOPS, cpu_id: 29
time elapsed: 15.577830 sec, perf: 16.048449 GFLOPS, cpu_id: 0
time elapsed: 15.666959 sec, perf: 15.957149 GFLOPS, cpu_id: 22
time elapsed: 15.634375 sec, perf: 15.990406 GFLOPS, cpu_id: 15
time elapsed: 15.640289 sec, perf: 15.984360 GFLOPS, cpu_id: 26
time elapsed: 15.671304 sec, perf: 15.952724 GFLOPS, cpu_id: 20
time elapsed: 15.639544 sec, perf: 15.985121 GFLOPS, cpu_id: 1
time elapsed: 15.804203 sec, perf: 15.818576 GFLOPS, cpu_id: 24
time elapsed: 15.523047 sec, perf: 16.105085 GFLOPS, cpu_id: 6
time elapsed: 15.837768 sec, perf: 15.785052 GFLOPS, cpu_id: 13
time elapsed: 15.672002 sec, perf: 15.952014 GFLOPS, cpu_id: 14
time elapsed: 15.960598 sec, perf: 15.663574 GFLOPS, cpu_id: 12
time elapsed: 15.664660 sec, perf: 15.959491 GFLOPS, cpu_id: 10
time elapsed: 15.629510 sec, perf: 15.995383 GFLOPS, cpu_id: 3
time elapsed: 15.536585 sec, perf: 16.091052 GFLOPS, cpu_id: 7
time elapsed: 15.671302 sec, perf: 15.952727 GFLOPS, cpu_id: 4
time elapsed: 15.532448 sec, perf: 16.095338 GFLOPS, cpu_id: 21
time elapsed: 16.080374 sec, perf: 15.546902 GFLOPS, cpu_id: 9
time elapsed: 16.001600 sec, perf: 15.623438 GFLOPS, cpu_id: 11
time elapsed: 15.988074 sec, perf: 15.636655 GFLOPS, cpu_id: 27
time elapsed: 16.142429 sec, perf: 15.487136 GFLOPS, cpu_id: 5
time elapsed: 15.873323 sec, perf: 15.749695 GFLOPS, cpu_id: 19
time elapsed: 16.114385 sec, perf: 15.514089 GFLOPS, cpu_id: 25
time elapsed: 15.782955 sec, perf: 15.839873 GFLOPS, cpu_id: 17
time elapsed: 15.715801 sec, perf: 15.907557 GFLOPS, cpu_id: 28
time elapsed: 15.817575 sec, perf: 15.805204 GFLOPS, cpu_id: 2
time elapsed: 15.760515 sec, perf: 15.862425 GFLOPS, cpu_id: 30
time elapsed: 16.243310 sec, perf: 15.390951 GFLOPS, cpu_id: 18
time elapsed: 16.292953 sec, perf: 15.344057 GFLOPS, cpu_id: 16
time elapsed: 16.187179 sec, perf: 15.444322 GFLOPS, cpu_id: 31
time elapsed: 16.277975 sec, perf: 15.358176 GFLOPS, cpu_id: 8
time elapsed: 17.107899 sec, perf: 14.613133 GFLOPS, cpu_id: 23
node03
system has 32 processor(s). 
time elapsed: 16.317940 sec, perf: 15.320561 GFLOPS, cpu_id: 16
time elapsed: 16.297651 sec, perf: 15.339634 GFLOPS, cpu_id: 24
time elapsed: 16.187185 sec, perf: 15.444316 GFLOPS, cpu_id: 26
time elapsed: 16.311803 sec, perf: 15.326325 GFLOPS, cpu_id: 10
time elapsed: 16.293052 sec, perf: 15.343964 GFLOPS, cpu_id: 28
time elapsed: 16.187585 sec, perf: 15.443934 GFLOPS, cpu_id: 14
time elapsed: 16.138055 sec, perf: 15.491334 GFLOPS, cpu_id: 27
time elapsed: 16.205125 sec, perf: 15.427218 GFLOPS, cpu_id: 2
time elapsed: 16.278611 sec, perf: 15.357575 GFLOPS, cpu_id: 25
time elapsed: 16.235291 sec, perf: 15.398554 GFLOPS, cpu_id: 6
time elapsed: 16.157499 sec, perf: 15.472691 GFLOPS, cpu_id: 21
time elapsed: 16.220018 sec, perf: 15.413053 GFLOPS, cpu_id: 8
time elapsed: 16.239771 sec, perf: 15.394306 GFLOPS, cpu_id: 19
time elapsed: 16.164098 sec, perf: 15.466375 GFLOPS, cpu_id: 22
time elapsed: 16.120914 sec, perf: 15.507806 GFLOPS, cpu_id: 1
time elapsed: 16.114845 sec, perf: 15.513646 GFLOPS, cpu_id: 4
time elapsed: 16.500786 sec, perf: 15.150793 GFLOPS, cpu_id: 13
